key,value,reference value,description
payment_error_during_create,Abonnement kan ikke opprettes da vi ikke klarer å trekke {0} fra kortet ditt. Feilmelding: {1}.,Subscription cannot be created as we are not able to collect {0} from your card on file. Error message: {1},Subscription cannot be created as we are not able to collect {0} from your card on file. Error message: {1}
payment_failure_during_reactivate,Abonnementet kan ikke reaktiveres da vi ikke klarer å trekke {0} fra kortet ditt som er lagret. Feilmelding: {1},Subscription cannot be re-activated as we are not able to collect {0} from your card on file. Error message: {1},Subscription cannot be re-activated as we are not able to collect {0} from your card on file. Error message: {1}
proration_currency_mismatch,Operasjonen kan ikke utføres da den nåværende fakturaen(e) har forskjellig valuta fra abonnementet. Vennligst kontakt kundestøtte,Operation cannot be performed as the current term invoice(s) have different currency from the subscription. Please contact support.,Operation cannot be performed as the current term invoice(s) have different currency from the subscription. Please contact support.
non_compliant_customer_msg,Denne kundens lokasjon kunne ikke valideres som nødvendig av {0} reglene. Abonnementer for denne kunden vil bli kansellert ved fornyelse hvis den nødvendige informasjonen ikke blir oppdatert.,This customer''s location couldn''t be validated as required by the {0} rules. Subscriptions for this customer will be canceled upon renewal if the required information is not updated.,This customer''s location couldn''t be validated as required by the {0} rules. Subscriptions for this customer will be canceled upon renewal if the required information is not updated.
no_creditcard_for_regenerate_invoice,Kan ikke regenerere en faktura da det ikke er noe gyldig kort på fil,Cannot regenerate an invoice as there is no valid card on file,Cannot regenerate an invoice as there is no valid card on file
add_card_error,Problem ved å legge til betalingsmetoden. Feilmelding: {0}.,Problem while adding the payment method. Error message : {0},Problem while adding the payment method. Error message : {0}
invalid_input_for_status_gifts,{0} bør ikke gis videre for {1} gaver,{0} should not be passed for {1} gifts,{0} should not be passed for {1} gifts
rec_addon_not_applicable,Tillegget {0} kan ikke brukes da kun ikke-gjentakende tillegg støttes.,Addon {0} cannot be applied as only non-recurring addons are supported,Recurring addon not supported
non_compliant_customer_sub_msg,"Dette abonnementet har blitt kansellert, fordi vi ikke klarte å validere kundens plassering som kreves for overholdelse av {0} reglene","This subscription has been canceled, because we were unable to validate the customer''s location as required for compliance with the {0} rules.","This subscription has been canceled, because we were unable to validate the customer''s location as required for compliance with the {0} rules."
no_creditcard_for_reactivate,Kan ikke reaktivere abonnementet da det ikke er noe aktivt kort på fil,Cannot re-activate subscription as there is no active card on file,Cannot re-activate subscription as there is no active card on file
