key,value,reference value,description
ramps.ramp_creation_restricted_as_advance_invoice_is_scheduled,Opprettelse av rampe er begrenset siden abonnementet hadde planlagt forskuddsfaktura. Fjern den planlagte forskuddsfakturaen for å lage nye ramper,Ramp creation is restricted since subscription had scheduled advance invoice. Remove the scheduled advance invoice to create new Ramps.,Ramp error message when user tries to create ramp for a subscription that has scheduled advance invoice.
ramps.create_ramp_conflict_on_add_coupons,Kan ikke opprette rampen: de spesifiserte kupongene i `{0}`:`{1}` er allerede til stede i abonnementet fra `effective_from` tiden,Unable to create the ramp: the specified coupons in `{0}`:`{1}` is already present in the subscription as of the `effective_from` time.,Ramp creation error message due to conflict with coupons to add.
ramps.create_ramp_conflict_on_remove_discounts,Kan ikke opprette rampen: de spesifiserte rabattene i `{0}` finnes ikke i abonnementet fra `effective_from` tiden,Unable to create the ramp: the specified discounts in  `{0}` is not found in the subscription as of the `effective_from` time.,Ramp creation error message due to conflict with discounts to remove.
ramps.minimum_one_day_ramp_difference,Sørg for et minimum av 24-timers intervall mellom `effective_from` tidene til to påfølgende ramper,Ensure a minimum of 24-hour interval between the `effective_from` times of two consecutive ramps.,Ramp error message when user tries to create new ramp within 24 hours of another ramp.
ramps.api_restricted_with_ramps,Denne API-operasjonen er ikke tillatt for dette nettstedet da funksjonen for prisløyper er aktivert,This API operation is not allowed for this site as Pricing Ramps feature is enabled.,Ramp error message when API operation is restricted with ramps feature.
ramps.subscription_id_not_passed,`subscription_id` filteret bør sendes i List Ramps api,The `subscription_id` filter should be passed in List Ramps api.,Ramps list error message when subscription_id filter is not passed in the API.
ramps.mandatory_item_removal,Kan ikke opprette rampen: den angitte vareprisen i `{0}`: `{1}` er en obligatorisk vare,Unable to create the ramp: the specified item price in `{0}`: `{1}` is a mandatory item.,Ramp error message when user tries to remove a mandatory item using ramps.
ramps.batch_create_input_failure,Å lage ramper,To create ramps," ensure they all belong to the same subscription. Check that `parameters.subscription_id` is the same for each object in the `requests` array."
ramps.delete_ramp_conflict_add_with_remove_items,Ramp `effective_from` `{0}` kan ikke slettes siden `items_to_add.item_price_id`: `{1}` er satt for fjerning i en påfølgende ramp `effective_from` `{2}`,Ramp `effective_from` `{0}` cannot be deleted since `items_to_add.item_price_id`: `{1}` is set for removal in a subsequent ramp `effective_from` `{2}`.,Ramp deletion conflict error message with future items to remove.
ramps.batch_delete_input_failure,Sletting av rampe mislyktes: Alle ramper må være en del av samme abonnement. Bekreft at `parameters.id` tilsvarer ramper innenfor et enkelt abonnement,Ramp deletion failed: All ramps must be part of the same subscription. Verify that `parameters.id` corresponds to ramps within a single subscription.,Ramp batch deletion error message when user tries to delete multiple ramps for different subscriptions.
ramps.ramp_without_any_items,Du må legge til. Bare svar med oversettelsen og ingenting annet,You must add," remove"
ramps.create_ramp_conflict_on_remove_items,Kan ikke opprette rampen: den angitte vareprisen i `{0}`: `{1}` finnes ikke i abonnementet fra `effective_from` tiden,Unable to create the ramp: the specified item price in `{0}`: `{1}` is not found in the subscription as of the `effective_from` time.,Ramp creation error message due to conflict with items to remove.
